month,recurring_income,grant_income,total_income,program_expense,other_expense,total_expense,net,cash_position
2024-09,0.0,200.0,200.0,-0.0,-0.0,-0.0,200.0,200.0
2024-10,13.72,0.0,13.72,-0.0,-0.0,-0.0,13.72,213.72
2024-11,1243.25,25000.0,26243.25,-0.0,1.16,1.16,26242.09,26455.81
2024-12,244.53,0.0,244.53,-0.0,-0.0,-0.0,244.53,26700.34
2025-01,244.53,0.0,244.53,-0.0,-0.0,-0.0,244.53,26944.87
2025-02,1224.14,1000.0,2224.14,-0.0,-0.0,-0.0,2224.14,29169.01
2025-03,550.87,0.0,550.87,206.77,-0.0,206.77,344.1,29513.11
2025-04,296.53,0.0,296.53,189.79,-0.0,189.79,106.74,29619.85
2025-05,336.53,2075.0,2411.53,331.29,-0.0,331.29,2080.24,31700.09
2025-06,296.53,0.0,296.53,604.0,-0.0,604.0,-307.47,31392.62
2025-07,296.53,30000.0,30296.53,634.81,-0.0,634.81,29661.72,61054.34
2025-08,296.53,0.0,296.53,783.38,-0.0,783.38,-486.85,60567.49
2025-09,658.53,0.0,658.53,904.09,-0.0,904.09,-245.56,60321.93
2025-10,345.04,0.0,345.04,1010.92,-0.0,1010.92,-665.88,59656.05
2025-11,296.53,0.0,296.53,1712.25,-0.0,1712.25,-1415.72,58240.33
2025-12,1035.47,110093.22,111128.69,1766.51,-0.0,1766.51,109362.18,167602.51
2026-01,786.58,0.0,786.58,1804.81,-0.0,1804.81,-1018.23,166584.28
2026-02,52.0,0.0,52.0,-0.0,-0.0,-0.0,52.0,166636.28
2026-03,52.0,15550.0,15602.0,2214.08,500.0,2714.08,12887.92,179524.2
2026-04,106.41,2029.13,2135.54,-0.0,-0.0,-0.0,2135.54,181659.74
2026-05,118.92,2100.0,2218.92,-0.0,-0.0,-0.0,2218.92,183878.66
